SubmissionDate;instanceID;lugar-Latitude;lugar-Longitude;lugar-Altitude;lugar-Accuracy;tipo;tipo/plastico;tipo/vidro;tipo/lata;tipo/papel;tipo/organico;tipo/outro;outro-lixo;tem-mais;tem-mais/plastico;tem-mais/vidro;tem-mais/lata;tem-mais/papel;tem-mais/organico;tem-mais/outro;foto;observacoes;KEY
;uuid:0b30efea-a70d-4cc9-b8bf-2f1eff9515c3;-22.5891770795;-43.4133386705;33;4;plastico vidro papel organico lata outro;1;1;1;1;1;1;Esgoto;plastico;1;1;1;1;1;1;1571405734356.jpg;;uuid:0b30efea-a70d-4cc9-b8bf-2f1eff9515c3
;uuid:0c975144-d109-4dd6-8528-ec2b1afa0522;-22.5937524671;-43.4221133497;45;8;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571402676281.jpg;Lixo no Mato;uuid:0c975144-d109-4dd6-8528-ec2b1afa0522
;uuid:0d96372e-a93c-487a-a71e-bc4fe5c8b96e;-22.5933432626;-43.4218501579;11;10;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571402433883.jpg;Lixo na rua;uuid:0d96372e-a93c-487a-a71e-bc4fe5c8b96e
;uuid:10c11777-4336-4c65-aa87-dc5d0bd4a3c8;-22.59382283;-43.42174265;-17.3165283203;3.216;outro;0;0;0;0;0;1;Vala;outro;0;0;0;0;0;1;1571402498146.jpg;Valão a céu aberto;uuid:10c11777-4336-4c65-aa87-dc5d0bd4a3c8
;uuid:11f0b93b-0b6c-4716-b549-a2af20f55571;-22.59736478;-43.41882519;13.3209228516;4.288;papel plastico organico;1;0;0;1;1;0;;papel;0;0;0;1;0;0;1571403619269.jpg;;uuid:11f0b93b-0b6c-4716-b549-a2af20f55571
;uuid:13362e7f-9bfa-4cfc-8464-d618e7c7614e;-22.5958681013;-43.4173577093;19;4.5;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571404262701.jpg;;uuid:13362e7f-9bfa-4cfc-8464-d618e7c7614e
;uuid:135a22dc-8b97-4a88-bd38-23c1dd9c8fe3;-22.5951631414;-43.4187480994;17;5;outro;0;0;0;0;0;1;Madeira;outro;0;0;0;0;0;1;1571404488229.jpg;;uuid:135a22dc-8b97-4a88-bd38-23c1dd9c8fe3
;uuid:13d24c92-8ecb-4f35-bbca-cf181155419c;-22.5952458708;-43.419768177;39;5;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571404735106.jpg;;uuid:13d24c92-8ecb-4f35-bbca-cf181155419c
;uuid:1759764e-b8c6-42fb-b9a8-5b1aff2ca606;-22.59396415;-43.41908557;21.6466064453;4.288;outro;0;0;0;0;0;1;Entulhos;outro;0;0;0;0;0;1;1571402881025.jpg;;uuid:1759764e-b8c6-42fb-b9a8-5b1aff2ca606
;uuid:1ab42856-c4a5-4a32-8790-072b8b6064bf;-22.5955915824;-43.4178097453;27;5;outro;0;0;0;0;0;1;Queimado;outro;0;0;0;0;0;1;1571404358872.jpg;;uuid:1ab42856-c4a5-4a32-8790-072b8b6064bf
;uuid:1ab500ff-d96d-4d4b-977d-669a3ef9b858;-22.5963924732;-43.4170821123;29;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404173922.jpg;;uuid:1ab500ff-d96d-4d4b-977d-669a3ef9b858
;uuid:1f58f8b7-4f98-4d58-b26e-8f96cdeb9e54;-22.5937968;-43.42178277;13.0927124023;4.288;lata vidro plastico papel organico;1;1;1;1;1;0;;organico;1;0;1;0;1;0;1571402372392.jpg;Restou de lixo queimado;uuid:1f58f8b7-4f98-4d58-b26e-8f96cdeb9e54
;uuid:20710edc-9378-4441-8016-8e5ad22cd624;-22.5885606743;-43.4205202013;42;7;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404529781.jpg;;uuid:20710edc-9378-4441-8016-8e5ad22cd624
;uuid:28c9abbb-a512-48e6-9906-85fac641829a;-22.5951923104;-43.4197380021;22;5;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571403073110.jpg;;uuid:28c9abbb-a512-48e6-9906-85fac641829a
;uuid:2a642fa4-21c3-49bf-ad8f-1be923cfd5e6;-22.59486594;-43.41961287;20.9885864258;3.216;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403048788.jpg;;uuid:2a642fa4-21c3-49bf-ad8f-1be923cfd5e6
;uuid:2c6adba0-c16c-4869-bf0b-9fe4bf0300f1;-22.5905342354;-43.4132018778;39;5;plastico vidro lata papel organico outro;1;1;1;1;1;1;Ponto de lixo;plastico;1;1;1;1;1;1;1571403933145.jpg;;uuid:2c6adba0-c16c-4869-bf0b-9fe4bf0300f1
;uuid:2fc44a96-62e6-4360-8e96-3a3102390e5f;-22.5937295426;-43.4208643623;8;4;papel plastico;1;0;0;1;0;0;;papel;0;0;0;1;0;0;1571402544301.jpg;;uuid:2fc44a96-62e6-4360-8e96-3a3102390e5f
;uuid:30107c02-4987-42b8-b52a-613c4485440d;-22.5933795143;-43.4155219048;25;5;plastico vidro lata papel organico;1;1;1;1;1;0;;plastico;1;1;1;1;1;0;1571405788416.jpg;;uuid:30107c02-4987-42b8-b52a-613c4485440d
;uuid:32abfe9e-b640-42bc-b1ca-7e768f7e275f;-22.5925634121;-43.4153891786;26.1070907554;4.9;papel;0;0;0;1;0;0;;papel;0;0;0;1;0;0;;Hhh;uuid:32abfe9e-b640-42bc-b1ca-7e768f7e275f
;uuid:34171ecb-06ac-4c72-97e3-ee4a0715d026;-22.5953133451;-43.4197793249;30;5;outro plastico papel lata;1;0;1;1;0;1;;plastico;1;0;0;1;0;0;1571403115008.jpg;;uuid:34171ecb-06ac-4c72-97e3-ee4a0715d026
;uuid:371e99ef-6030-4aeb-8a08-2a177b4a63ef;-22.5934355922;-43.4154957432;19.3665435417;4.9;plastico lata organico;1;0;1;0;1;0;;plastico;1;0;0;0;0;0;1571405781007.jpg;;uuid:371e99ef-6030-4aeb-8a08-2a177b4a63ef
;uuid:380e29b8-487e-4e52-90c7-c3f6182803ed;-22.5959211588;-43.4174888022;14;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404289098.jpg;;uuid:380e29b8-487e-4e52-90c7-c3f6182803ed
;uuid:38765fc8-a4dd-4309-b8cf-0e77bac4d93d;-22.5909289392;-43.4148528613;30;5;lata outro;0;0;1;0;0;1;Carro abandonado;lata;0;0;1;0;0;1;1571403268559.jpg;;uuid:38765fc8-a4dd-4309-b8cf-0e77bac4d93d
;uuid:39a9e465-c25b-4c73-aa5c-51410b35fd00;-22.5932902889;-43.4219116811;13;4.5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571401490713.jpg;;uuid:39a9e465-c25b-4c73-aa5c-51410b35fd00
;uuid:3c539a31-52f0-45df-b059-88564f8f20de;-22.594811311;-43.4194994532;15;4;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571404608326.jpg;;uuid:3c539a31-52f0-45df-b059-88564f8f20de
